date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:23	120556/120556	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:45%20GMT	http://themeperfect.me/legalpress/assets/images/32.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/32.jpg	(from http://themeperfect.me/legalpress/bankruptcy-law.html)
23:39:26	46605/46605	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:44%20GMT	http://themeperfect.me/legalpress/assets/images/311.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/311.jpg	(from http://themeperfect.me/legalpress/family-law.html)
23:39:27	17336/17336	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:34:05%20GMT	http://themeperfect.me/legalpress/assets/images/61.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/61.jpg	(from http://themeperfect.me/legalpress/about.html)
23:39:29	17430/17430	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:54%20GMT	http://themeperfect.me/legalpress/assets/images/410.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/410.jpg	(from http://themeperfect.me/legalpress/about.html)
23:39:29	14540/14540	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:43%20GMT	http://themeperfect.me/legalpress/assets/images/310.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/310.jpg	(from http://themeperfect.me/legalpress/about.html)
23:39:33	23001/23001	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:59%20GMT	http://themeperfect.me/legalpress/assets/images/45.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/45.jpg	(from http://themeperfect.me/legalpress/news.html)
23:39:38	46488/46488	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:53%20GMT	http://themeperfect.me/legalpress/assets/images/36.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/36.jpg	(from http://themeperfect.me/legalpress/news.html)
23:39:39	39600/39600	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Jul%202016%2008:32:49%20GMT	http://themeperfect.me/legalpress/shop-single.html	C:/wamp64/www/law2/themeperfect.me/legalpress/shop-single.html	(from http://themeperfect.me/legalpress/shop.html)
23:39:40	40485/40485	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:56%20GMT	http://themeperfect.me/legalpress/assets/images/42.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/42.jpg	(from http://themeperfect.me/legalpress/news.html)
23:39:42	8581/8581	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Jul%202016%2008:33:38%20GMT	http://themeperfect.me/legalpress/assets/images/23-300x300.jpg	C:/wamp64/www/law2/themeperfect.me/legalpress/assets/images/23-300x300.jpg	(from http://themeperfect.me/legalpress/shop.html)
